split_source,source_row_id,review_text,review_text_clean
train,15,Packed with so much information.  I look forward to getting it each time.,Packed with so much information. I look forward to getting it each time.
train,19,"-It keeps me up with the lasest PC technology.

-Reviews are very unbiased

-Too many Game technology articles",-It keeps me up with the lasest PC technology. -Reviews are very unbiased -Too many Game technology articles
train,36,It has only a few good articles (2 or 3) and the rest are just ads.  Simply put too many ads.,It has only a few good articles (2 or 3) and the rest are just ads. Simply put too many ads.
train,37,It took two months to receive the first magazine and didn't receive any more after that.  Defenitely the last magazine subscription I order from Amazon.,It took two months to receive the first magazine and didn't receive any more after that. Defenitely the last magazine subscription I order from Amazon.
train,41,"When the renewal starts since I purchase it.
The letter came yesterday to renewal it so now do it.",When the renewal starts since I purchase it. The letter came yesterday to renewal it so now do it.
train,44,"sucks
you may or may not receive you order",sucks you may or may not receive you order
train,51,This magazine is about 70% advertisements.  It's a shame.  I canceled my subscription.,This magazine is about 70% advertisements. It's a shame. I canceled my subscription.
train,52,"This app needs work as it will only download the first few pages then ""gets stuck"".  Glad I only bought one issue and I will delete that.","This app needs work as it will only download the first few pages then ""gets stuck"". Glad I only bought one issue and I will delete that."
train,58,"not like use to.  Too much ads, (every page?)  no thanks","not like use to. Too much ads, (every page?) no thanks"
train,62,Lots of adds.  Light on content.,Lots of adds. Light on content.
train,66,I am very displeased with this.  I tried to cancel my subscription but they would not do so.  I do not want this magazine.,I am very displeased with this. I tried to cancel my subscription but they would not do so. I do not want this magazine.
train,68,Not available  for purchase? Why list it under Kindle Unlimited  then?,Not available for purchase? Why list it under Kindle Unlimited then?
train,70,Not compatible on Android tablets via Kindle app.  Beware...,Not compatible on Android tablets via Kindle app. Beware...
train,73,Almost half the magazine is alcohol and cigarette ads.  Could not use them to reading time in my classroom.,Almost half the magazine is alcohol and cigarette ads. Could not use them to reading time in my classroom.
train,74,Articles are no longer very interesting.  Basically you can get all the highlights of the articles online for free.,Articles are no longer very interesting. Basically you can get all the highlights of the articles online for free.
train,76,"my mother kept every Christmas issue for years
I love looking at them . . classic",my mother kept every Christmas issue for years I love looking at them . . classic
