review_text,label
Excellent product! I love reading through the magazine and learning about the cool new products out there and the cool programs!,positive
"If you into gaming, into the latest PC tech info, like reviews of hardware rated 1 thru 10, chomp PC builds, get this rag. @ $12 bucks for 2 years its worth every penny",positive
Great Mag..!!,positive
"Extremely similar to GQ, same publisher. You aren't going to get anything from this magazine that you don't get from GQ. Similar to GQ, lots of ads and minimal content.",positive
it is great read and great ideas for today's men .. great price.. buy it today.. go for it :),positive
Very dissapointed. I love this magazine and was very dissapointed to find out the cd's were not included with the subscription.,positive
Allure sent me 3 magazines in the space of a month in order to get rid of back issues. Very disappointed.,negative
Minimal content. A very diffrent magazine than several years ago,negative
This magazine doesn't really have much to it. I'm glad I got the subscription for free!,positive
A must for all bottom-dwellers,positive
"A+++ I bought this for my son-in-law a few years ago, and renew it every year as an ongoing Christmas gift. He loves it!!!",positive
"I'm sure someone else would love this magazine, it just wasn't for me.",negative
"this mag has gone downhill in my estimation since they got rid of the former editor Linda Wells after 20 years or so. too bad, it was so great before. cancelling my subscription.",negative
Great magazine with lots of new beauty products to learn about.,positive
Lot of advertisements,positive
Packed with so much information.  I look forward to getting it each time.,positive
I found it boring.,negative
Great price. Love it.,positive
"Lots of fashion,and rating new items",positive
"-It keeps me up with the lasest PC technology.

-Reviews are very unbiased

-Too many Game technology articles",positive
I am enjoying my digital subscription.,positive
Love this magazine! Never disappoints!,positive
"Love it, my favorite!",positive
Love this magazine. If you are a DIY person then for the price worth buying.,positive
1 article and 15 advertisements.,negative
I do not wish to subscribe to this magazine.,positive
"They send to much extra trash with the magazine, the first month came with a renewal notice that my 12 month subscription was about to expire.",positive
I just love this magazine! Ive gotten it for a few years. I try to never let my subscription lapse. Great price on amazon too!!,positive
This is a magazine made of clowns! Bozo rules! I friendly advice to people is to get almost any other magazine. This one is completely lost.,negative
"Do not buy. You get a 4 or 5 issues, then they stop. Contacted Amazon, got 1 more issue then they stopped again. A rip off. We need a NO star option.",negative
magazines may have gone digital but that makes their ads even more annoying--it takes way too long to get to the stories and by then I don't want to read it.,negative
Nice Ideas for a handy person.,positive
"This is the only magazine I subscribe to. Great articles, great fashion and make up tips. It's fantastic tat I can view it on my kindle.",positive
